,Season,Year,Major,Course,Section,Start,End,Building,Room_Number
377,FALL,2024,MGMT,2300,1,2024-12-16 15:00:00,2024-12-16 18:00:00,EATON,214
378,FALL,2024,MGMT,2300,2,2024-12-16 15:00:00,2024-12-16 18:00:00,EATON,214
379,FALL,2024,MGMT,2320,1,2024-12-16 11:30:00,2024-12-16 14:30:00,SAGE,3510
380,FALL,2024,MGMT,2320,2,2024-12-19 11:30:00,2024-12-19 14:30:00,PITTS,4114
381,FALL,2024,MGMT,2430,1,2024-12-16 11:30:00,2024-12-16 14:30:00,ONLINE,NA
382,FALL,2024,MGMT,2430,2,2024-12-17 11:30:00,2024-12-17 14:30:00,ONLINE,NA
383,FALL,2024,MGMT,2510,1,2024-12-16 11:30:00,2024-12-16 14:30:00,CARNEGIE,113
384,FALL,2024,MGMT,2510,2,2024-12-18 15:00:00,2024-12-18 18:00:00,PITTS,5216
385,FALL,2024,MGMT,4140,1,2024-12-17 15:00:00,2024-12-17 18:00:00,ONLINE,NA
386,FALL,2024,MGMT,4170,1,2024-12-17 15:00:00,2024-12-17 18:00:00,DCC,330
387,FALL,2024,MGMT,4170,2,2024-12-17 15:00:00,2024-12-17 18:00:00,DCC,330
388,FALL,2024,MGMT,4190,1,2024-12-13 11:30:00,2024-12-13 14:30:00,LOW,4050
389,FALL,2024,MGMT,4190,2,2024-12-13 11:30:00,2024-12-13 14:30:00,LOW,4050
390,FALL,2024,MGMT,4240,1,2024-12-18 15:00:00,2024-12-18 18:00:00,ONLINE,NA
391,FALL,2024,MGMT,4310,1,2024-12-18 11:30:00,2024-12-18 14:30:00,PITTS,4114
392,FALL,2024,MGMT,4320,1,2024-12-16 11:30:00,2024-12-16 14:30:00,PITTS,4114
393,FALL,2024,MGMT,4340,1,2024-12-17 11:30:00,2024-12-17 14:30:00,LOW,3112
394,FALL,2024,MGMT,4540,1,2024-12-17 11:30:00,2024-12-17 14:30:00,LOW,3130
395,FALL,2024,MGMT,4600,1,2024-12-18 15:00:00,2024-12-18 18:00:00,TROY,2018
396,FALL,2024,MGMT,4600,2,2024-12-18 15:00:00,2024-12-18 18:00:00,TROY,2018
397,FALL,2024,MGMT,4850,1,2024-12-17 15:00:00,2024-12-17 18:00:00,DCC,337
398,FALL,2024,MGMT,4860,1,2024-12-17 11:30:00,2024-12-17 14:30:00,SAGE,3101
399,FALL,2024,MGMT,4860,2,2024-12-18 11:30:00,2024-12-18 14:30:00,PITTS,5114
400,FALL,2024,MGMT,4870,1,2024-12-16 15:00:00,2024-12-16 18:00:00,LOW,3051
401,FALL,2024,MGMT,4870,2,2024-12-17 15:00:00,2024-12-17 18:00:00,LOW,3116
402,FALL,2024,MGMT,6020,1,2024-12-13 11:30:00,2024-12-13 14:30:00,PITTS,4206
