course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
INTRODUCTION TO LOGIC,LEC,4,MTRF,8:00,10:05AM,Van Heuvel,50,0,50,PHIL,2020-05-26,2020-07-10,SUMMER 2020,14901,2140,01
BIOETHICS,LEC,4,MTRF,10:30,12:35PM,Smith,35,0,35,PHIL,2020-05-26,2020-07-10,SUMMER 2020,15711,4500,01
PHYSICS I,LEC,4,MTRF,2:00,3:50PM,Kim,40,0,40,PHYS,2020-05-26,2020-07-10,SUMMER 2020,15079,1100,01
COMPUTING FOR PHYSICISTS,LEC,2,TF,1:30,3:35PM,West,40,0,40,PHYS,2020-05-26,2020-07-10,SUMMER 2020,15443,2962,01
CRITICAL THINKING,LEC,4,MTRF,10:30,12:35PM,Van Heuvel,25,0,25,PSYC,2020-05-26,2020-07-10,SUMMER 2020,15014,2100,01
PSYCHOLOGY OF MINDFULNESS,LEC,4,MTRF,8:00,10:05AM,Traver,19,0,19,PSYC,2020-05-26,2020-07-10,SUMMER 2020,15668,4430,01
POSITIVE PSYCHOLOGY,LEC,4,MTRF,10:30,12:35PM,Traver,120,0,120,PSYC,2020-05-26,2020-07-10,SUMMER 2020,15330,4730,01
BIOETHICS,LEC,4,MTRF,10:30,12:35PM,Smith,35,0,35,STSH,2020-05-26,2020-07-10,SUMMER 2020,15712,4250,01
PD2 TECH ISSUES & SOLUTIONS,LEC,2,MR,8:00,10:05AM,Hoffman,30,0,30,STSS,2020-05-26,2020-07-10,SUMMER 2020,15702,4100,01
CREATIVE WRITING STUDIO,LEC,4,MTR,10:30,12:35PM,Dentz,19,0,19,WRIT,2020-05-26,2020-07-10,SUMMER 2020,15481,2960,01
DIGITAL CONSTRUCTS 2,LEC,2,F,10:00,11:50AM,Hower,20,0,20,ARCH,2020-07-13,2020-08-21,SUMMER 2020,15272,2530,01
